
Клиентов за час =  10
Время на обслуживание (интенсивность обслуживания) = 5
Интенсивность поступления =  6.0
Ограничение посетителей = 100
 вариант B
1000 клиентов ограничение 

  № клиента    Время поступ    Время обслуживания    Т кумулятив    Начало обслуживания    конец обслуживания    время в сист    время в очереди    № осбл. покуп    Длинна очереди    Время простоя
        207           3.128                 5.366       1134.65               1134.65               1140.01             5.366              0                  206                 0            3.128
        208           3.817                 6.58        1138.46               1140.01               1146.59             8.129              1.549              207                 0            0
        209           0.753                 3.486       1139.22               1146.59               1150.08            10.863              7.376              207                 1            0
        210          18.293                 3.754       1157.51               1157.51               1161.26             3.754              0                  209                 0           10.917
        211           7.754                 1.757       1165.26               1165.26               1167.02             1.757              0                  210                 0            7.754
        212           2.916                 0.882       1168.18               1168.18               1169.06             0.882              0                  211                 0            2.916
        213           3.433                 8.831       1171.61               1171.61               1180.44             8.831              0                  212                 0            3.433
        214           0.653                12.2         1172.27               1180.44               1192.64            20.378              8.178              213                 0            0
        215           0.208                 1.192       1172.47               1192.64               1193.83            21.362             20.17               213                 1            0
        216           7.746                 0.488       1180.22               1193.83               1194.32            14.104             13.616              213                 2            0
        217          19.808                 2.297       1200.03               1200.03               1202.32             2.297              0                  216                 0            6.192
        218           2.504                 3.794       1202.53               1202.53               1206.33             3.794              0                  217                 0            2.504
        219           0.457                 7.055       1202.99               1206.33               1213.38            10.392              3.337              218                 0            0
        220           4.768                 5.465       1207.76               1213.38               1218.84            11.088              5.624              219                 0            0
        221           5.227                 0.932       1212.98               1218.84               1219.78             6.793              5.861              219                 1            0
        222           1.148                 2.164       1214.13               1219.78               1221.94             7.809              5.645              220                 1            0
        223           6.453                 5.883       1220.58               1221.94               1227.82             7.239              1.356              222                 0            0
        224           8.55                  4.135       1229.13               1229.13               1233.27             4.135              0                  223                 0            7.194
        225           0.807                12.915       1229.94               1233.27               1246.18            16.243              3.328              224                 0            0
        226          10.365                 5.3         1240.31               1246.18               1251.48            11.178              5.878              225                 0            0
        227           6.007                12.621       1246.31               1251.48               1264.11            17.792              5.171              226                 0            0
        228           0.304                 2.476       1246.62               1264.11               1266.58            19.965             17.488              226                 1            0
        229           0.937                 3.93        1247.55               1266.58               1270.51            22.958             19.028              226                 2            0
        230           7.619                 9.698       1255.17               1270.51               1280.21            25.037             15.339              227                 2            0
