
Клиентов за час =  10
Время на обслуживание (интенсивность обслуживания) = 5
Интенсивность поступления =  6.0
Ограничение посетителей = 100
 вариант B
1000 клиентов ограничение 

  № клиента    Время поступ    Время обслуживания    Т кумулятив    Начало обслуживания    конец обслуживания    время в сист    время в очереди    № осбл. покуп    Длинна очереди    Время простоя
        504          24.73                  1.583       2898.62               2898.62               2900.2              1.583              0                  503                 0           21.514
        505          37.542                10.997       2936.16               2936.16               2947.16            10.997              0                  504                 0           37.542
        506           2.33                  4.583       2938.49               2947.16               2951.74            13.25               8.667              505                 0            0
        507          13.393                 1.647       2951.89               2951.89               2953.53             1.647              0                  506                 0            4.726
        508           5.496                 2.354       2957.38               2957.38               2959.74             2.354              0                  507                 0            5.496
        509           6.701                 5.424       2964.08               2964.08               2969.51             5.424              0                  508                 0            6.701
        510           1.695                 0.674       2965.78               2969.51               2970.18             4.403              3.729              509                 0            0
        511          12.249                 1.071       2978.03               2978.03               2979.1              1.071              0                  510                 0            8.52
        512          20.384                16.226       2998.41               2998.41               3014.64            16.226              0                  511                 0           20.384
        513           0.066                 6.529       2998.48               3014.64               3021.17            22.689             16.16               512                 0            0
        514           3.68                 16.676       3002.16               3021.17               3037.84            35.685             19.009              512                 1            0
        515          25.397                 1.801       3027.55               3037.84               3039.64            12.089             10.288              514                 0            0
        516           2.661                 3.192       3030.21               3039.64               3042.83            12.62               9.428              514                 1            0
        517           4.828                 0.342       3035.04               3042.83               3043.18             8.134              7.792              514                 2            0
        518           7.558                 0.666       3042.6                3043.18               3043.84             1.242              0.576              516                 1            0
        519           0.526                 1.13        3043.13               3043.84               3044.97             1.846              0.716              517                 1            0
        520           0.79                  5.917       3043.92               3044.97               3050.89             6.973              1.056              519                 0            0
        521           2.939                10.04        3046.86               3050.89               3060.93            14.074              4.034              520                 0            0
        522           1.593                 0.926       3048.45               3060.93               3061.85            13.407             12.481              520                 1            0
        523           6.059                 1.155       3054.51               3061.85               3063.01             8.502              7.348              521                 1            0
        524           2.312                 0.216       3056.82               3063.01               3063.22             6.406              6.19               521                 2            0
        525           0.411                 0.232       3057.23               3063.22               3063.46             6.227              5.995              521                 3            0
        526           4.913                 2.828       3062.14               3063.46               3066.29             4.142              1.314              523                 2            0
        527          20.385                 0.267       3082.53               3082.53               3082.8              0.267              0                  526                 0           19.071
        528           7.165                 1.519       3089.69               3089.69               3091.21             1.519              0                  527                 0            7.165
        529           4.812                 0.003       3094.51               3094.51               3094.51             0.003              0                  528                 0            4.812
        530           4.552                12.11        3099.06               3099.06               3111.17            12.11               0                  529                 0            4.552
        531           0.969                 1.613       3100.03               3111.17               3112.78            12.754             11.141              530                 0            0
        532           1.837                 5.569       3101.86               3112.78               3118.35            16.486             10.917              530                 1            0
        533           6.535                 0.399       3108.4                3118.35               3118.75            10.349              9.951              530                 2            0
        534           1.462                 0.902       3109.86               3118.75               3119.65             9.789              8.887              530                 3            0
        535           0.049                 1.399       3109.91               3119.65               3121.05            11.139              9.74               530                 4            0
        536           6.849                11.471       3116.76               3121.05               3132.52            15.761              4.29               532                 3            0
        537           3.705                 3.562       3120.46               3132.52               3136.08            15.618             12.056              535                 1            0
        538           8.797                 0.114       3129.26               3136.08               3136.2              6.936              6.821              536                 1            0
        539          11.865                 2.129       3141.12               3141.12               3143.25             2.129              0                  538                 0            5.044
        540           4.619                 0.128       3145.74               3145.74               3145.87             0.128              0                  539                 0            4.619
        541           2.715                 2.535       3148.46               3148.46               3150.99             2.535              0                  540                 0            2.715
        542           3.075                 1.632       3151.53               3151.53               3153.17             1.632              0                  541                 0            3.075
        543           2.391                 6.853       3153.93               3153.93               3160.78             6.853              0                  542                 0            2.391
        544           0.072                 0.758       3154                  3160.78               3161.54             7.539              6.781              543                 0            0
        545           2.666                 4.94        3156.66               3161.54               3166.48             9.813              4.873              543                 1            0
        546           3.95                  8.41        3160.61               3166.48               3174.89            14.273              5.863              543                 2            0
        547          18.506                 1.607       3179.12               3179.12               3180.73             1.607              0                  546                 0           12.643
        548          11.92                  4.087       3191.04               3191.04               3195.13             4.087              0                  547                 0           11.92
        549          10.34                 11.881       3201.38               3201.38               3213.26            11.881              0                  548                 0           10.34
        550           0.522                 4.613       3201.9                3213.26               3217.87            15.972             11.359              549                 0            0
        551           0.874                 6.777       3202.78               3217.87               3224.65            21.876             15.098              549                 1            0
        552          10.434                 1.625       3213.21               3224.65               3226.28            13.067             11.442              549                 2            0
        553           8.065                 5.095       3221.27               3226.28               3231.37            10.096              5.002              551                 1            0
        554           8.424                 3.613       3229.7                3231.37               3234.98             5.285              1.672              553                 0            0
        555           6.652                 7.974       3236.35               3236.35               3244.32             7.974              0                  554                 0            4.98
        556           5.895                 7.016       3242.24               3244.32               3251.34             9.095              2.079              555                 0            0
        557           8.771                 4.28        3251.02               3251.34               3255.62             4.604              0.324              556                 0            0
        558           1.158                 2.406       3252.17               3255.62               3258.03             5.852              3.446              557                 0            0
        559           1.332                 0.668       3253.51               3258.03               3258.69             5.188              4.52               557                 1            0
        560           0.254                15.413       3253.76               3258.69               3274.11            20.346              4.934              557                 2            0
        561           1.318                 1.647       3255.08               3274.11               3275.75            20.676             19.028              557                 3            0
        562           2.463                 2.893       3257.54               3275.75               3278.65            21.106             18.213              558                 3            0
        563           2.225                 4.882       3259.77               3278.65               3283.53            23.763             18.881              560                 2            0
        564           5.379                 4.341       3265.14               3283.53               3287.87            22.725             18.384              560                 3            0
        565           7.837                 0.664       3272.98               3287.87               3288.53            15.553             14.888              560                 4            0
        566           2.703                10.568       3275.68               3288.53               3299.1             23.418             12.85               561                 4            0
        567          11.752                 2.791       3287.44               3299.1                3301.89            14.457             11.666              564                 2            0
        568           7.173                 4.05        3294.61               3301.89               3305.94            11.334              7.284              566                 1            0
        569           1.095                 3.614       3295.7                3305.94               3309.56            13.852             10.239              566                 2            0
        570          10.047                 3.667       3305.75               3309.56               3313.22             7.472              3.805              568                 1            0
        571           8.084                 3.988       3313.84               3313.84               3317.82             3.988              0                  570                 0            4.279
        572           3.243                 1.328       3317.08               3317.82               3319.15             2.073              0.745              571                 0            0
        573           0.259                 4.856       3317.34               3319.15               3324.01             6.671              1.814              571                 1            0
        574           4.531                 1.322       3321.87               3324.01               3325.33             3.461              2.14               573                 0            0
        575           6.234                 2.705       3328.1                3328.1                3330.81             2.705              0                  574                 0            4.094
        576           4.396                 1.939       3332.5                3332.5                3334.44             1.939              0                  575                 0            4.396
        577           5.187                10.376       3337.69               3337.69               3348.06            10.376              0                  576                 0            5.187
        578           1.436                 0.884       3339.12               3348.06               3348.95             9.824              8.94               577                 0            0
        579           5.001                 0.681       3344.12               3348.95               3349.63             5.504              4.823              577                 1            0
        580           4.374                 7.382       3348.5                3349.63               3357.01             8.512              1.13               578                 1            0
        581           7.112                 1.758       3355.61               3357.01               3358.77             3.159              1.4                580                 0            0
        582           2.317                 4.517       3357.93               3358.77               3363.28             5.359              0.842              581                 0            0
        583           2.649                 2.332       3360.57               3363.28               3365.62             5.042              2.71               582                 0            0
        584           0.133                 0.821       3360.71               3365.62               3366.44             5.73               4.909              582                 1            0
        585           1.276                 0.18        3361.98               3366.44               3366.62             4.634              4.454              582                 2            0
        586           3.457                 0.075       3365.44               3366.62               3366.69             1.252              1.177              583                 2            0
        587          13.176                 1.544       3378.62               3378.62               3380.16             1.544              0                  586                 0           11.999
        588           4.702                 6.877       3383.32               3383.32               3390.2              6.877              0                  587                 0            4.702
        589           7.559                 1.636       3390.88               3390.88               3392.51             1.636              0                  588                 0            7.559
        590           3.516                 0.892       3394.39               3394.39               3395.29             0.892              0                  589                 0            3.516
        591          22.275                 4.277       3416.67               3416.67               3420.95             4.277              0                  590                 0           22.275
        592           3.404                 3.91        3420.07               3420.95               3424.86             4.783              0.873              591                 0            0
        593           1.02                  1.738       3421.09               3424.86               3426.59             5.501              3.763              592                 0            0
        594           2.323                14.006       3423.42               3426.59               3440.6             17.184              3.178              592                 1            0
        595          11.401                 1.11        3434.82               3440.6                3441.71             6.893              5.783              594                 0            0
        596          10.35                  1.879       3445.17               3445.17               3447.05             1.879              0                  595                 0            4.567
        597           0.023                11.091       3445.19               3447.05               3458.14            12.947              1.856              596                 0            0
        598           0.931                 2.508       3446.12               3458.14               3460.64            14.524             12.016              596                 1            0
        599           0.184                16.137       3446.3                3460.64               3476.78            30.476             14.34               596                 2            0
        600           8.08                 10.983       3454.39               3476.78               3487.76            33.379             22.396              597                 2            0
        601           7.55                  5.845       3461.93               3487.76               3493.61            31.674             25.829              599                 1            0
        602           3.431                 5.045       3465.37               3493.61               3498.65            33.288             28.243              599                 2            0
        603           2.445                 5.052       3467.81               3498.65               3503.71            35.895             30.843              599                 3            0
        604           4.896                 0.689       3472.71               3503.71               3504.4             31.689             30.999              599                 4            0
        605           2.774                 4.778       3475.48               3504.4                3509.17            33.693             28.915              599                 5            0
        606           3.855                 1.64        3479.34               3509.17               3510.81            31.478             29.838              600                 5            0
        607           2.019                 0.8         3481.36               3510.81               3511.61            30.259             29.459              600                 6            0
        608          10.619                 8.653       3491.97               3511.61               3520.27            28.293             19.64               601                 6            0
        609           6.059                 2.248       3498.03               3520.27               3522.51            24.482             22.234              602                 6            0
        610           9.573                 0.45        3507.61               3522.51               3522.96            15.358             14.909              605                 4            0
        611           0.129                 2.761       3507.74               3522.96               3525.73            17.99              15.229              605                 5            0
        612          24.932                 6.216       3532.67               3532.67               3538.88             6.216              0                  611                 0            9.703
        613           6.446                 0.349       3539.11               3539.11               3539.46             0.349              0                  612                 0            6.446
        614           4.034                 5.681       3543.15               3543.15               3548.83             5.681              0                  613                 0            4.034
        615           0.716                 0.058       3543.86               3548.83               3548.89             5.023              4.965              614                 0            0
        616           2.191                13.289       3546.05               3548.89               3562.17            16.12               2.832              614                 1            0
        617           8.186                 0.007       3554.24               3562.17               3562.18             7.942              7.934              616                 0            0
        618           5.884                 1.317       3560.12               3562.18               3563.5              3.375              2.058              616                 1            0
        619           1.113                 7.703       3561.24               3563.5                3571.2              9.965              2.262              616                 2            0
        620           6.526                 0.588       3567.76               3571.2                3571.79             4.027              3.439              619                 0            0
        621           1.559                 3.905       3569.32               3571.79               3575.69             6.373              2.468              619                 1            0
        622          32.547                 0.057       3601.87               3601.87               3601.93             0.057              0                  621                 0           30.079
        623           4.276                 1.768       3606.14               3606.14               3607.91             1.768              0                  622                 0            4.276
        624           6.617                 0.66        3612.76               3612.76               3613.42             0.66               0                  623                 0            6.617
        625           4.312                 0.487       3617.07               3617.07               3617.56             0.487              0                  624                 0            4.312
        626           2.505                 0.947       3619.58               3619.58               3620.53             0.947              0                  625                 0            2.505
        627           4.974                 3.129       3624.55               3624.55               3627.68             3.129              0                  626                 0            4.974
        628          20.333                13.158       3644.89               3644.89               3658.04            13.158              0                  627                 0           20.333
        629           6.189                 0.312       3651.07               3658.04               3658.36             7.281              6.969              628                 0            0
        630           1.878                 7.373       3652.95               3658.36               3665.73            12.776              5.403              628                 1            0
        631           0.968                 4.789       3653.92               3665.73               3670.52            16.597             11.808              628                 2            0
        632           4.874                 0.678       3658.8                3670.52               3671.2             12.402             11.723              630                 1            0
        633          16.087                 0.064       3674.88               3674.88               3674.95             0.064              0                  632                 0            4.364
        634           2.705                 8.309       3677.59               3677.59               3685.9              8.309              0                  633                 0            2.705
        635           0.838                 7.037       3678.43               3685.9                3692.93            14.508              7.471              634                 0            0
        636           1.993                 5.541       3680.42               3692.93               3698.47            18.056             12.515              634                 1            0
        637           4.12                  0.397       3684.54               3698.47               3698.87            14.333             13.936              634                 2            0
        638          10.301                 1.918       3694.84               3698.87               3700.79             5.95               4.032              636                 1            0
        639           4.092                 1.163       3698.93               3700.79               3701.95             3.021              1.858              638                 0            0
        640           9.06                  5.067       3707.99               3707.99               3713.06             5.067              0                  639                 0            7.202
        641          11.058                 2.474       3719.05               3719.05               3721.52             2.474              0                  640                 0           11.058
        642           3.719                 2.187       3722.77               3722.77               3724.95             2.187              0                  641                 0            3.719
        643           2.246                 4.043       3725.01               3725.01               3729.06             4.043              0                  642                 0            2.246
        644           5.446                13.459       3730.46               3730.46               3743.92            13.459              0                  643                 0            5.446
        645           7.562                 4.134       3738.02               3743.92               3748.05            10.031              5.897              644                 0            0
        646           4.393                 2.522       3742.41               3748.05               3750.57             8.16               5.638              644                 1            0
        647           8.844                 3.189       3751.26               3751.26               3754.45             3.189              0                  646                 0            3.206
        648           1.674                 0.585       3752.93               3754.45               3755.03             2.1                1.515              647                 0            0
        649           8.543                 0.677       3761.48               3761.48               3762.15             0.677              0                  648                 0            7.028
        650           2.797                 2.346       3764.27               3764.27               3766.62             2.346              0                  649                 0            2.797
        651          11.573                 0.17        3775.85               3775.85               3776.02             0.17               0                  650                 0           11.573
        652           6.587                 4.787       3782.43               3782.43               3787.22             4.787              0                  651                 0            6.587
        653           0.205                 4.13        3782.64               3787.22               3791.35             8.712              4.582              652                 0            0
        654           5.64                  1.211       3788.28               3791.35               3792.56             4.283              3.072              653                 0            0
        655           6.467                 5.042       3794.74               3794.74               3799.79             5.042              0                  654                 0            3.395
        656           5.989                 3.185       3800.73               3800.73               3803.92             3.185              0                  655                 0            5.989
        657           4.841                 2.258       3805.57               3805.57               3807.83             2.258              0                  656                 0            4.841
        658           0.517                13.902       3806.09               3807.83               3821.74            15.643              1.741              657                 0            0
        659           4.009                 6.346       3810.1                3821.74               3828.08            17.981             11.634              658                 0            0
        660           1.013                11.625       3811.11               3828.08               3839.71            28.592             16.968              658                 1            0
        661           0.525                 5.284       3811.64               3839.71               3844.99            33.351             28.067              658                 2            0
        662           0.239                 1.544       3811.88               3844.99               3846.53            34.656             33.112              658                 3            0
        663           1.916                14.552       3813.79               3846.53               3861.09            47.292             32.74               658                 4            0
        664           2.169                 7.755       3815.96               3861.09               3868.84            52.879             45.123              658                 5            0
        665           2.768                 1.382       3818.73               3868.84               3870.22            51.492             50.111              658                 6            0
        666          13.067                 6.615       3831.8                3870.22               3876.84            45.041             38.425              660                 5            0
        667           2.738                 1.216       3834.54               3876.84               3878.05            43.519             42.303              660                 6            0
        668           9.641                12.375       3844.18               3878.05               3890.43            46.253             33.878              661                 6            0
        669           3.755                 6.929       3847.93               3890.43               3897.36            49.426             42.498              663                 5            0
        670           1.599                 6.802       3849.53               3897.36               3904.16            54.629             47.827              663                 6            0
        671           1.049                 5.348       3850.58               3904.16               3909.51            58.928             53.58               663                 7            0
        672           0.598                12.604       3851.18               3909.51               3922.11            70.934             58.33               663                 8            0
        673          12.302                 3.46        3863.48               3922.11               3925.57            62.092             58.632              664                 8            0
        674           1.256                 0.174       3864.74               3925.57               3925.75            61.01              60.836              664                 9            0
        675           8.17                  2.578       3872.91               3925.75               3928.32            55.418             52.84               666                 8            0
        676           8.608                 2.312       3881.51               3928.32               3930.64            49.122             46.81               668                 7            0
        677          20.104                 1.268       3901.62               3930.64               3931.9             30.286             29.018              670                 6            0
        678           4.804                14.725       3906.42               3931.9                3946.63            40.207             25.482              671                 6            0
        679           2.706                 5.195       3909.13               3946.63               3951.82            42.696             37.501              671                 7            0
        680           3.346                 2.938       3912.47               3951.82               3954.76            42.288             39.35               672                 7            0
        681           2.31                  4.124       3914.78               3954.76               3958.89            44.102             39.978              672                 8            0
        682           6.545                 1.029       3921.33               3958.89               3959.92            38.586             37.557              672                 9            0
        683           0.404                 2.973       3921.73               3959.92               3962.89            41.156             38.182              672                10            0
        684           7.989                 6.162       3929.72               3962.89               3969.05            39.329             33.167              676                 7            0
        685          11.338                 0.516       3941.06               3969.05               3969.57            28.507             27.991              678                 6            0
        686           3.725                 1.803       3944.78               3969.57               3971.37            26.585             24.782              678                 7            0
        687           7.015                 5.198       3951.8                3971.37               3976.57            24.768             19.57               679                 7            0
        688           5.12                  1.337       3956.92               3976.57               3977.9             20.984             19.648              681                 6            0
        689           4.254                 0.095       3961.17               3977.9                3978               16.825             16.73               683                 5            0
        690           8.671                 8.387       3969.84               3978                  3986.39            16.541              8.154              686                 3            0
        691           5.688                 3.126       3975.53               3986.39               3989.51            13.979             10.853              687                 3            0
        692           8.541                 2.085       3984.07               3989.51               3991.6              7.523              5.438              690                 1            0
        693           0.686                17.14        3984.76               3991.6                4008.74            23.977              6.837              690                 2            0
        694           0.567                 5.058       3985.33               4008.74               4013.79            28.467             23.41               690                 3            0
        695           2.174                 6.286       3987.5                4013.79               4020.08            32.579             26.293              691                 3            0
        696           2.526                 0.321       3990.03               4020.08               4020.4             30.374             30.053              692                 3            0
        697           0.806                 4.104       3990.83               4020.4                4024.51            33.673             29.568              692                 4            0
        698           1.028                 0.948       3991.86               4024.51               4025.45            33.592             32.645              693                 4            0
        699           5.258                 4.508       3997.12               4025.45               4029.96            32.842             28.334              693                 5            0
        700           0.518                16.32        3997.64               4029.96               4046.28            48.644             32.324              693                 6            0
        701           2.146                 0.171       3999.78               4046.28               4046.45            46.669             46.498              693                 7            0
        702           7.353                 0.926       4007.14               4046.45               4047.38            40.241             39.316              693                 8            0
        703           2.84                  3.411       4009.98               4047.38               4050.79            40.812             37.401              694                 8            0
        704          43.214                 1.856       4053.19               4053.19               4055.05             1.856              0                  703                 0            5.813
        705           9.137                 0.205       4062.33               4062.33               4062.53             0.205              0                  704                 0            9.137
        706           8.29                  4.584       4070.62               4070.62               4075.2              4.584              0                  705                 0            8.29
        707           9.014                 1.031       4079.63               4079.63               4080.66             1.031              0                  706                 0            9.014
        708           0.849                 0.828       4080.48               4080.66               4081.49             1.01               0.182              707                 0            0
        709          13.829                 6.05        4094.31               4094.31               4100.36             6.05               0                  708                 0           13.647
        710          13.017                 3.138       4107.33               4107.33               4110.46             3.138              0                  709                 0           13.017
        711           2.675                 3.347       4110                  4110.46               4113.81             3.81               0.463              710                 0            0
        712           2.753                 3.204       4112.75               4113.81               4117.02             4.261              1.057              711                 0            0
        713           9.168                18.157       4121.92               4121.92               4140.08            18.157              0                  712                 0            8.111
        714           3.683                 7.533       4125.6                4140.08               4147.61            22.007             14.474              713                 0            0
        715           4.662                 3.532       4130.27               4147.61               4151.14            20.877             17.345              713                 1            0
        716           5.123                 5.372       4135.39               4151.14               4156.52            21.126             15.754              713                 2            0
        717           4.206                 8.746       4139.6                4156.52               4165.26            25.666             16.92               713                 3            0
        718           7.179                 3.772       4146.77               4165.26               4169.03            22.259             18.487              714                 3            0
        719           2.825                10.862       4149.6                4169.03               4179.9             30.296             19.434              715                 3            0
        720           0.26                  0.556       4149.86               4179.9                4180.45            30.592             30.036              715                 4            0
        721           1.316                 3.066       4151.18               4180.45               4183.52            32.342             29.276              716                 4            0
        722           0.482                20.889       4151.66               4183.52               4204.41            52.749             31.86               716                 5            0
        723           2.351                 4.775       4154.01               4204.41               4209.18            55.173             50.398              716                 6            0
        724           2.346                 9.574       4156.35               4209.18               4218.76            62.4               52.827              716                 7            0
        725           4.633                 7.15        4160.99               4218.76               4225.91            64.918             57.767              717                 7            0
        726           3.494                 2.041       4164.48               4225.91               4227.95            63.465             61.424              717                 8            0
        727           3.243                 2.846       4167.73               4227.95               4230.79            63.068             60.222              718                 8            0
        728          22.445                 0.28        4190.17               4230.79               4231.07            40.904             40.623              722                 5            0
        729          11.939                 1.743       4202.11               4231.07               4232.82            30.708             28.965              722                 6            0
        730           5.945                 2.872       4208.05               4232.82               4235.69            27.635             24.763              723                 6            0
        731           2.673                 7.042       4210.73               4235.69               4242.73            32.004             24.962              724                 6            0
        732          11.501                 0.018       4222.23               4242.73               4242.75            20.521             20.503              725                 6            0
        733           6.752                 5.257       4228.98               4242.75               4248.01            19.025             13.769              727                 5            0
        734           1.785                13.819       4230.77               4248.01               4261.82            31.059             17.24               727                 6            0
        735           1.646                 3.515       4232.41               4261.82               4265.34            32.928             29.413              729                 5            0
